,alpha,beta_1,beta_2,beta_3,beta_4,beta_5
AOS,2.471755756291786e-17,0.6328432231388846,0.0749574817437153,-0.014773668016912739,-0.05702549583701058,-0.08615022351059533
APA,1.5333479972395215e-17,0.6329911117053679,-0.046067951318136485,0.39770562605188375,0.04640990532073619,-0.13662621391369165
APD,7.223069502276592e-18,0.74658226010366,-0.010104007767604915,0.1588664065722239,-0.039376087607692366,-0.06372901723800432
APH,9.091801784694389e-18,0.7122863486968347,0.012200026751267308,0.12858182358840756,-0.12130280936407695,-0.022008396006465283
ARE,5.477342953336151e-18,0.7176635962138858,0.2790500334178763,-0.10376238067074686,0.11597091303847311,-0.07083421423179413
ATO,1.151316213369489e-17,0.6199055737016379,-0.18558362120577468,0.08354618021791316,0.14223946833501105,-0.10806019838838989
AVB,7.26044214203078e-18,0.7281432971449132,0.29722000287020606,-0.1717379052967865,0.13580600063454984,-0.07054095149934661
AVY,-1.654612593608831e-17,0.710989541103529,0.026598182401962548,0.0883412246226238,-0.0015702337603182258,-0.06499469559673457
AXON,1.6521225634321858e-18,0.4139255964648937,0.07961391110714192,0.03353904365188211,-0.0194741749578264,-0.012661983100610034
AXP,-5.839679071252971e-19,0.7793692985049673,0.29937126580302853,-0.04885186096687678,0.12742625219389758,0.1088713542104355
AZO,4.77160065487444e-18,0.5425489373317285,-0.017977742959286003,-0.3133607590757553,-0.18339278705777212,-0.27104078296582024
BA,-8.09438754772924e-18,0.7033269721113898,-0.061686230659189045,0.15408049608464455,-0.06886085294049342,-0.11516014236409793
BAC,2.406115657832216e-18,0.6744870837205653,0.40650529493872806,-0.056522392765487116,0.19488310199403178,0.1333807287174165
BALL,8.153844388244163e-18,0.6928853500532854,-0.003747348999824547,0.0642543682964504,-0.03635900335560371,-0.08765547497904866
BAX,-4.305477336789963e-18,0.5421856095886375,-0.22233865237284867,-0.05035561299299424,0.040958269558518126,0.056718775927894934
BBWI,1.376353272279381e-19,0.6687703281711921,0.1284633612803791,-0.14261063513177263,-0.08564367071583309,-0.11772863600710079
BBY,-3.94941321681096e-18,0.5353188468408703,0.0920694104593952,-0.10250858878857073,-0.10938833553166419,-0.0919303693754133
BDX,-2.0843048612611976e-18,0.5572923647525035,-0.22444026886287677,-0.006247314500073091,0.0048746466063724625,0.04959352149731698
BEN,7.970962705461808e-18,0.8357570434234629,0.1949252562336757,-0.026594388741248393,0.026458832409482817,0.05035486561644141
BF-B,1.1034676893056692e-17,0.5885313315969767,-0.17182837124641917,-0.00984772136699387,0.04082918177220145,-0.03301345714454043
BG,7.233886630566875e-18,0.5027001303144494,0.018053369927872785,0.21593735337208578,0.01756564651711992,-0.07601604535507694
BIIB,1.5195659156733947e-18,0.4400087934311886,-0.11390460139789324,-0.015810697423653913,-0.030561500564657652,0.05495042761368488
BIO,1.2696172625872651e-17,0.541572751293461,0.0021235519528963152,-0.04058734512109197,-0.033079066586563226,-0.027747643822953843
BK,-7.31597313179978e-19,0.7541955618367188,0.22735653723563765,-0.05939202853417042,0.0720962415827072,0.11196006268044306
